Group.1;gene;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;tair_symbol;uniprotswissprot;entrezgene_id;description;external_gene_name;external_gene_source
AT1G07610;AT1G07610;3938.72585381937;0.622478230464665;0.15704596374719;3.96366907886101;7.38065462315302e-05;0.0229223595568189;MT1C;Q38804;837274;"Metallothionein-like protein 1C [Source:UniProtKB/Swiss-Prot;Acc:Q38804]";MT1C;UniProtKB Gene Name
AT1G13245;AT1G13245;1384.88823922255;0.781118838886819;0.169168122111387;4.61741153792853;3.88556229389582e-06;0.00356779087325156;RTFL17;;837884;"At1g13245 [Source:UniProtKB/TrEMBL;Acc:Q9SAF8]";RTFL17;TAIR Gene Name
AT1G13750;AT1G13750;722.830328224452;-0.735823287613996;0.194059867694054;-3.79173342926349;0.000149599443548679;0.0394923831038069;;Q9LMX4;837935;"Probable inactive purple acid phosphatase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LMX4]";PAP1;UniProtKB Gene Name
AT1G18265;AT1G18265;90.875399365449;0.886578048573439;0.221192503035785;4.00817404028384;6.11900209043532e-05;0.0198811084842929;;Q9LM24;2745754;"Protein FLOURY 1-like [Source:UniProtKB/Swiss-Prot;Acc:Q9LM24]";;
AT1G20735;AT1G20735;11.8433847612655;-2.43992021703858;0.621984192906937;-3.92280100501468;8.75254401333352e-05;0.0253212297284371;;;10723056;"F-box and associated interaction domains-containing protein [Source:UniProtKB/TrEMBL;Acc:F4HUN6]";;
AT1G22410;AT1G22410;5203.36718525696;-0.419807134177522;0.0955810729320719;-4.39215758203377;1.12231304011814e-05;0.00658392474840414;;;838847;"Phospho-2-dehydro-3-deoxyheptonate aldolase [Source:UniProtKB/TrEMBL;Acc:Q9SK84]";;
AT1G23390;AT1G23390;3996.66145676478;0.873157542507671;0.19965425806384;4.37334796149691;1.22355467243677e-05;0.00698385165599785;;Q9LDE3;838947;"F-box/Kelch repeat-containing F-box family protein [Source:UniProtKB/TrEMBL;Acc:C4PVQ8]";;
AT1G24267;AT1G24267;755.176443193876;-0.480253240228814;0.128726140373126;-3.73081363922472;0.000190862372571844;0.045138418312014;;;839042;"Protein of unknown function (DUF1664) [Source:TAIR;Acc:AT1G24267]";;
AT1G24510;AT1G24510;339.279355262447;0.74372136754765;0.200025139003288;3.71813948613441;0.000200695450222273;0.046576782563123;;,O04450;839066;"T-complex protein 1 subunit epsilon [Source:UniProtKB/Swiss-Prot;Acc:O04450]";CCT5;UniProtKB Gene Name
AT1G26800;AT1G26800;211.616069862914;0.907311577520075;0.189337080750292;4.7920437662007;1.65090876525696e-06;0.00249039587239012;;Q9LQX2;839223;"E3 ubiquitin-protein ligase MPSR1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LQX2]";MPSR1;UniProtKB Gene Name
AT1G52510;AT1G52510;107.720089347826;1.09091796497758;0.293863270271102;3.71233180645937;0.000205358525163571;0.0471409423144506;;;841682;"Alpha/beta-Hydrolases superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q8VZ57]";;
AT1G55670;AT1G55670;18592.051725306;0.644199242246729;0.161549921841185;3.98761717062311;6.67402447802984e-05;0.0210371228285839;PSAG;Q9S7N7;842016;"Photosystem I reaction center subunit V, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9S7N7]";PSAG;UniProtKB Gene Name
AT1G61300;AT1G61300;34.9830427715898;0.966377066724117;0.257422065720578;3.7540568405394;0.000173995380574084;0.0432306875569892;;O64790,;842424;"Probable disease resistance protein At1g61300 [Source:UniProtKB/Swiss-Prot;Acc:O64790]";;
AT1G61800;AT1G61800;363.814462571087;-1.75145276660559;0.466971459122088;-3.75066341291681;0.000176367318830574;0.0433104814695684;GPT2;Q94B38,;842477;"glucose-6-phosphate/phosphate translocator 2 [Source:TAIR;Acc:AT1G61800]";GPT2;TAIR Gene Name
