Group.1;gene;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;tair_symbol;uniprotswissprot;entrezgene_id;description;external_gene_name;external_gene_source
AT1G02010;AT1G02010;188.785915061941;-0.682573621643828;0.187820035274548;-3.63418961478773;0.000278855732284666;0.0227459052528502;SEC1A;,Q9C5P7;839288;"secretory 1A [Source:TAIR;Acc:AT1G02010]";SEC1A;TAIR Gene Name
AT1G02660;AT1G02660;188.307963347942;1.77643502712452;0.257583235331803;6.89654753670681;5.32815414539819e-12;4.14642028928203e-08;;F4HXL0;839544;"Phospholipase A1 PLIP2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:F4HXL0]";PLIP2;UniProtKB Gene Name
AT1G03920;AT1G03920;126.071731234352;-0.955341072350791;0.289850072577411;-3.29598355403429;0.000980777564885345;0.0480960212217244;;;839369;"Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:F4I2K0]";;
AT1G03930;AT1G03930;1188.95158865247;-0.453273073163707;0.112687445268913;-4.0223919539753;5.76100838405621e-05;0.00962647721339723;ADK1;Q9ZWB3;839368;"Casein kinase 1-like protein 9 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZWB3]";CKL9;UniProtKB Gene Name
AT1G04390;AT1G04390;292.735959951935;-0.562975848303487;0.167868624157455;-3.3536692823278;0.000797476161833965;0.0425932209033643;;P93820;839530;"BTB/POZ domain-containing protein At1g04390 [Source:UniProtKB/Swiss-Prot;Acc:P93820]";;
AT1G04770;AT1G04770;751.099032110819;-0.467139127423947;0.133482790926552;-3.49962061911777;0.000465920756129131;0.0320951211465466;;Q8L730;839418;"Protein SULFUR DEFICIENCY-INDUCED 2 [Source:UniProtKB/Swiss-Prot;Acc:Q8L730]";;
AT1G05575;AT1G05575;37.4648159211336;1.36106591973162;0.400188679937815;3.4010605196107;0.000671249652987503;0.0390854149525416;;;837061;"Transmembrane protein [Source:UniProtKB/TrEMBL;Acc:Q8LC91]";;
AT1G05675;AT1G05675;99.873364597047;1.55769187344654;0.339304457478148;4.59083822542137;4.41469425179347e-06;0.00161643944187321;;P0C7P7;10723139;"Glycosyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:A0A1W6AJW6]";UGT74E1;UniProtKB Gene Name
AT1G07135;AT1G07135;512.602789134331;1.19258230550518;0.267520553269376;4.45790908747234;8.27629868889547e-06;0.00255865008872954;;;837224;"At1g07135 [Source:UniProtKB/TrEMBL;Acc:Q9LMK6]";;
AT1G07350;AT1G07350;1305.27957438713;-0.62300015440776;0.131580868976902;-4.73473202640974;2.19344711743763e-06;0.00102978574473789;;Q84TH4,;837246;"Serine/arginine-rich splicing factor SR45a [Source:UniProtKB/Swiss-Prot;Acc:Q84TH4]";SR45A;UniProtKB Gene Name
