GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0010200	P	response to chitin	14	355	151	37767	5.8e-10	4.6e-07	// AT1G42990 // AT5G47220 // AT1G80840 // AT2G38470 // AT4G17490 // AT5G67300 // AT1G51700 // AT5G59450 // AT3G05200 // AT5G64660 // AT1G75490 // AT4G18880 // AT3G15210 // AT4G37260 
GO:0009743	P	response to carbohydrate stimulus	14	355	240	37767	1.4e-07	5.6e-05	// AT1G42990 // AT5G47220 // AT1G80840 // AT2G38470 // AT4G17490 // AT5G67300 // AT1G51700 // AT5G59450 // AT3G05200 // AT5G64660 // AT1G75490 // AT4G18880 // AT3G15210 // AT4G37260 
GO:0002376	P	immune system process	14	355	368	37767	1.7e-05	0.0033	// AT1G63860 // AT1G80840 // AT5G11250 // AT3G52400 // AT5G06320 // AT5G47220 // AT1G66090 // AT1G28380 // AT1G29690 // AT1G72940 // AT4G19520 // AT3G15210 // AT3G28910 // AT1G59870 
GO:0006955	P	immune response	14	355	367	37767	1.6e-05	0.0033	// AT1G63860 // AT1G80840 // AT5G11250 // AT3G52400 // AT5G06320 // AT5G47220 // AT1G66090 // AT1G28380 // AT1G29690 // AT1G72940 // AT4G19520 // AT3G15210 // AT3G28910 // AT1G59870 
GO:0050896	P	response to stimulus	63	355	4057	37767	5.6e-05	0.0074	// AT5G62470 // AT4G38620 // AT1G80840 // AT2G38470 // AT5G26240 // AT5G06320 // AT3G08730 // AT1G51700 // AT3G48190 // AT3G44670 // AT1G66090 // AT2G30020 // AT2G04880 // AT1G59870 // AT5G44750 // AT1G60490 // AT4G24210 // AT1G72940 // AT4G15760 // AT4G34150 // AT2G46790 // AT1G74930 // AT5G59450 // AT3G28740 // AT3G62550 // AT3G10985 // AT4G18880 // AT3G28910 // AT4G34760 // AT3G46970 // AT2G39730 // AT4G19520 // AT5G20230 // AT5G11250 // AT5G47220 // AT1G55450 // AT3G57300 // AT5G67300 // AT4G23680 // AT3G13782 // AT5G64660 // AT5G54510 // AT5G52050 // AT3G15210 // AT1G42990 // AT1G63860 // AT1G77760 // AT1G37130 // AT5G43700 // AT1G28380 // AT3G52400 // AT5G54490 // AT4G34770 // AT2G46830 // AT3G05200 // AT1G10940 // AT1G75490 // AT1G29690 // AT4G17490 // AT2G37190 // AT1G72650 // AT1G72520 // AT4G37260 
GO:0006950	P	response to stress	42	355	2320	37767	4.7e-05	0.0074	// AT5G47220 // AT4G38620 // AT1G80840 // AT2G38470 // AT5G62470 // AT3G08730 // AT3G48190 // AT3G44670 // AT1G66090 // AT2G30020 // AT1G74930 // AT1G59870 // AT5G44750 // AT1G60490 // AT1G72940 // AT4G34150 // AT5G06320 // AT2G39730 // AT3G13782 // AT3G28740 // AT3G62550 // AT3G10985 // AT3G28910 // AT3G46970 // AT4G19520 // AT5G20230 // AT5G11250 // AT1G55450 // AT3G57300 // AT5G67300 // AT4G23680 // AT3G15210 // AT1G42990 // AT1G63860 // AT1G28380 // AT3G52400 // AT2G46830 // AT1G10940 // AT2G37190 // AT1G72650 // AT1G72520 // AT4G37260 
GO:0009651	P	response to salt stress	13	355	366	37767	6.5e-05	0.0074	// AT1G60490 // AT4G38620 // AT2G38470 // AT5G62470 // AT2G46830 // AT1G55450 // AT1G28380 // AT3G08730 // AT5G67300 // AT1G10940 // AT1G72650 // AT3G28910 // AT4G37260 
GO:0009751	P	response to salicylic acid stimulus	9	355	200	37767	0.00016	0.012	// AT5G62470 // AT4G38620 // AT1G80840 // AT2G46830 // AT3G52400 // AT5G67300 // AT2G04880 // AT3G28910 // AT4G37260 
GO:0009607	P	response to biotic stimulus	17	355	638	37767	0.00016	0.012	// AT1G42990 // AT5G47220 // AT1G80840 // AT2G38470 // AT4G15760 // AT5G06320 // AT3G52400 // AT3G44670 // AT1G74930 // AT4G23680 // AT2G30020 // AT3G28740 // AT1G37130 // AT3G10985 // AT3G15210 // AT3G28910 // AT1G59870 
GO:0006952	P	defense response	19	355	766	37767	0.00017	0.012	// AT1G63860 // AT1G80840 // AT2G38470 // AT5G11250 // AT3G52400 // AT5G06320 // AT5G47220 // AT3G44670 // AT1G66090 // AT1G28380 // AT4G23680 // AT1G72520 // AT2G30020 // AT3G28740 // AT1G72940 // AT4G19520 // AT3G15210 // AT3G28910 // AT1G59870 
GO:0006970	P	response to osmotic stress	13	355	408	37767	0.00019	0.012	// AT1G60490 // AT4G38620 // AT2G38470 // AT5G62470 // AT2G46830 // AT1G55450 // AT1G28380 // AT3G08730 // AT5G67300 // AT1G10940 // AT1G72650 // AT3G28910 // AT4G37260 
GO:0009723	P	response to ethylene stimulus	9	355	199	37767	0.00016	0.012	// AT5G62470 // AT4G38620 // AT4G17490 // AT5G47220 // AT2G46830 // AT5G67300 // AT3G15210 // AT3G28910 // AT4G37260 
